Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Vanuatu,Western Pacific,6847,2229.24,1218,396.555,297,12,3.907,6,1.953,5
British Virgin Islands,Americas,6296,20822.172,134,443.166,0,62,205.047,0,0,0
Sao Tome and Principe,Africa,5953,2716.293,0,0,0,73,33.309,0,0,0
Turks and Caicos Islands,Americas,5941,15344.284,0,0,0,36,92.98,0,0,0
American Samoa,Western Pacific,5766,10446.22,231,418.501,58,23,41.669,5,9.058,1
Saint Kitts and Nevis,Americas,5561,10454.58,2,3.76,0,43,80.839,0,0,0
Cook Islands,Western Pacific,4727,26913.004,1039,5915.509,237,1,5.693,1,5.693,1
Saint Barthélemy,Americas,4443,44946.889,75,758.725,0,4,40.465,0,0,0
Palau,Western Pacific,4396,24298.032,274,1514.482,117,6,33.164,0,0,0
Kiribati,Western Pacific,3076,2575.158,7,5.86,0,13,10.883,0,0,0
Anguilla,Americas,2731,18204.239,0,0,0,9,59.992,0,0,0
Saint Pierre and Miquelon,Americas,2641,45573.77,104,1794.651,0,1,17.256,0,0,0
Sint Eustatius,Americas,900,28671.551,14,446.002,0,5,159.286,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Saba,Americas,526,27211.588,31,1603.725,0,0,0,0,0,0
Wallis and Futuna,Western Pacific,454,4036.991,0,0,0,7,62.244,0,0,0
Montserrat,Americas,177,3540.708,1,20.004,0,2,40.008,0,0,0
Falkland Islands (Malvinas),Americas,152,4364.054,21,602.929,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,15,25.34,8,13.515,0,0,0,0,0,0
Niue,Western Pacific,8,494.438,1,61.805,0,0,0,0,0,0
Nauru,Western Pacific,3,27.691,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,2,1.739,2,1.739,2,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
